site	size	fps	time	TSF
siteA	4.49980967	2	2011	>three
siteA	6.03068526	2	2011	>three
siteA	5.010635294	1	2011	>three
siteA	4.96284463	1	2011	>three
siteA	4.787491743	NA	2011	>three
siteA	4.624972813	2	2011	>three
siteA	4.510859507	1	2011	>three
siteA	4.430816799	1	2011	>three
siteA	4.477336814	NA	2011	>three
siteA	3.688879454	1	2011	>three
siteA	5.272999559	2	2011	>three
siteA	5.075173815	NA	2011	>three
siteA	4.96284463	NA	2011	>three
siteA	5.886104031	2	2011	>three
siteA	5.966146739	3	2011	>three
siteA	NA	NA	2011	>three
siteA	6.173786104	4	2011	>three
siteA	5.010635294	3	2011	>three
siteA	5.257495372	1	2011	>three
siteA	5.886104031	3	2011	>three
siteA	5.634789603	4	2011	>three
siteA	5.204006687	2	2011	>three
siteA	5.318119994	1	2011	>three
siteA	5.828945618	2	2011	>three
siteA	4.787491743	NA	2011	>three
siteA	5.966146739	2	2011	>three
siteA	5.950642553	6	2011	>three
siteA	5.416100402	2	2011	>three
siteA	5.541263545	4	2011	>three
siteA	5.598421959	1	2011	>three
siteA	5.598421959	7	2011	>three
siteA	6.29156914	5	2011	>three
siteA	5.934894196	3	2011	>three
siteA	5.480638923	2	2011	>three
siteA	4.882801923	3	2011	>three
siteA	5.105945474	3	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	6.324358962	3	2011	>three
siteA	5.123963979	4	2011	>three
siteA	4.86753445	NA	2011	>three
siteA	4.248495242	NA	2011	>three
siteA	5.780743516	4	2011	>three
siteA	4.356708827	1	2011	>three
siteA	5.411646052	2	2011	>three
siteA	5.455321115	NA	2011	>three
siteA	4.65396035	1	2011	>three
siteA	4.86753445	3	2011	>three
siteA	5.318119994	2	2011	>three
siteA	5.455321115	4	2011	>three
siteA	6.276643489	6	2011	>three
siteA	4.276666119	1	2011	>three
siteA	4.65396035	3	2011	>three
siteA	4.510859507	4	2011	>three
siteA	5.857933154	2	2011	>three
siteA	4.718498871	3	2011	>three
siteA	4.356708827	1	2011	>three
siteA	4.59511985	NA	2011	>three
siteA	4.682131227	1	2011	>three
siteA	5.204006687	2	2011	>three
siteA	4.49980967	2	2011	>three
siteA	5.411646052	2	2011	>three
siteA	5.609471795	1	2011	>three
siteA	5.036952602	1	2011	>three
siteA	NA	NA	2011	>three
siteA	5.375278408	3	2011	>three
siteA	5.170483995	3	2011	>three
siteA	4.787491743	3	2011	>three
siteA	5.375278408	6	2011	>three
siteA	4.700480366	3	2011	>three
siteA	6.416732283	1	2011	>three
siteA	5.828945618	4	2011	>three
siteA	4.59511985	3	2011	>three
siteA	5.129898715	2	2011	>three
siteA	4.836281907	3	2011	>three
siteA	4.343805422	1	2011	>three
siteA	5.192956851	7	2011	>three
siteA	4.584967479	2	2011	>three
siteA	5.170483995	NA	2011	>three
siteA	4.9698133	3	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	5.455321115	1	2011	>three
siteA	4.276666119	NA	2011	>three
siteA	4.510859507	1	2011	>three
siteA	4.276666119	0	2011	>three
siteA	4.430816799	1	2011	>three
siteA	4.700480366	NA	2011	>three
siteA	5.541263545	3	2011	>three
siteA	4.094344562	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	4.905274778	2	2011	>three
siteA	4.343805422	2	2011	>three
siteA	4.564348191	1	2011	>three
siteA	5.272999559	2	2011	>three
siteA	5.717027701	2	2011	>three
siteA	5.375278408	2	2011	>three
siteA	4.718498871	4	2011	>three
siteA	5.049856007	2	2011	>three
siteA	5.087596335	4	2011	>three
siteA	4.787491743	2	2011	>three
siteA	4.9698133	3	2011	>three
siteA	6.257667588	2	2011	>three
siteA	4.356708827	2	2011	>three
siteA	5.375278408	1	2011	>three
siteA	5.541263545	1	2011	>three
siteA	4.025351691	NA	2011	>three
siteA	4.276666119	NA	2011	>three
siteA	4.86753445	NA	2011	>three
siteA	3.912023005	1	2011	>three
siteA	5.075173815	1	2011	>three
siteA	4.189654742	1	2011	>three
siteA	5.924255797	3	2011	>three
siteA	4.356708827	3	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	NA	NA	2011	>three
siteA	5.598421959	4	2011	>three
siteA	5.204006687	2	2011	>three
siteA	5.105945474	NA	2011	>three
siteA	4.941642423	NA	2011	>three
siteA	5.075173815	3	2011	>three
siteA	4.564348191	NA	2011	>three
siteA	4.276666119	1	2011	>three
siteA	4.49980967	2	2011	>three
siteA	4.343805422	1	2011	>three
siteA	4.477336814	NA	2011	>three
siteA	4.430816799	2	2011	>three
siteA	4.248495242	NA	2011	>three
siteA	4.510859507	3	2011	>three
siteA	4.836281907	5	2011	>three
siteA	4.584967479	3	2011	>three
siteA	5.730099783	3	2011	>three
siteA	4.9698133	NA	2011	>three
siteA	4.276666119	3	2011	>three
siteA	4.941642423	4	2011	>three
siteA	5.634789603	2	2011	>three
siteA	4.276666119	NA	2011	>three
siteA	5.272999559	2	2011	>three
siteA	2.197224577	1	2011	>three
siteA	5.411646052	1	2011	>three
siteA	6.269096284	2	2011	>three
siteA	5.123963979	2	2011	>three
siteA	4.9698133	1	2011	>three
siteA	4.59511985	3	2011	>three
siteA	4.510859507	1	2011	>three
siteA	6.12249281	3	2011	>three
siteB	5.036952602	NA	2011	>three
siteB	5.480638923	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	4.025351691	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	3.737669618	NA	2011	>three
siteB	3.218875825	NA	2011	>three
siteB	3.737669618	NA	2011	>three
siteB	3.891820298	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	6.035481433	0	2011	>three
siteB	2.995732274	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	5.347107531	0	2011	>three
siteB	3.33220451	NA	2011	>three
siteB	6.510258341	4	2011	>three
siteB	5.023880521	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	5.934894196	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteB	NA	NA	2011	>three
siteC	6.040254711	5	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	7.383989458	NA	2011	two
siteC	7.634337236	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	6.758094504	4	2011	two
siteC	5.924255797	NA	2011	two
siteC	6.226536669	NA	2011	two
siteC	6.98471632	7	2011	two
siteC	6.65929392	9	2011	two
siteC	6.040254711	NA	2011	two
siteC	5.877735782	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	6.135564891	6	2011	two
siteC	6.690842277	7	2011	two
siteC	5.030437921	NA	2011	two
siteC	6.396929655	7	2011	two
siteC	6.784457063	5	2011	two
siteC	7.167037877	9	2011	two
siteC	7.102499356	11	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	7.272398393	12	2011	two
siteC	7.478169694	10	2011	two
siteC	7.392647521	10	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
siteC	NA	NA	2011	two
