site	size	surv	TSF
siteB	4.49980967	0	>three
siteB	6.03068526	1	>three
siteB	5.010635294	1	>three
siteB	4.96284463	1	>three
siteB	4.787491743	1	>three
siteB	4.624972813	0	>three
siteB	4.510859507	0	>three
siteB	4.430816799	0	>three
siteB	4.477336814	0	>three
siteB	3.688879454	0	>three
siteB	5.272999559	1	>three
siteB	5.075173815	0	>three
siteB	4.96284463	1	>three
siteB	5.886104031	1	>three
siteB	5.966146739	1	>three
siteB	NA	NA	>three
siteB	6.173786104	1	>three
siteB	5.010635294	0	>three
siteB	5.257495372	0	>three
siteB	5.886104031	1	>three
siteB	5.634789603	1	>three
siteB	5.204006687	1	>three
siteB	5.318119994	0	>three
siteB	5.828945618	1	>three
siteB	4.787491743	1	>three
siteB	5.966146739	1	>three
siteB	5.950642553	1	>three
siteB	5.416100402	1	>three
siteB	5.541263545	0	>three
siteB	5.598421959	0	>three
siteB	5.598421959	1	>three
siteB	6.29156914	1	>three
siteB	5.934894196	1	>three
siteB	5.480638923	1	>three
siteB	4.882801923	1	>three
siteB	5.105945474	1	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	6.324358962	1	>three
siteB	5.123963979	1	>three
siteB	4.86753445	0	>three
siteB	4.248495242	1	>three
siteB	5.780743516	1	>three
siteB	4.356708827	1	>three
siteB	5.411646052	1	>three
siteB	5.455321115	1	>three
siteB	4.65396035	1	>three
siteB	4.86753445	1	>three
siteB	5.318119994	0	>three
siteB	5.455321115	1	>three
siteB	6.276643489	0	>three
siteB	4.276666119	0	>three
siteB	4.65396035	0	>three
siteB	4.510859507	1	>three
siteB	5.857933154	1	>three
siteB	4.718498871	1	>three
siteB	4.356708827	1	>three
siteB	4.59511985	0	>three
siteB	4.682131227	1	>three
siteB	5.204006687	1	>three
siteB	4.49980967	1	>three
siteB	5.411646052	1	>three
siteB	5.609471795	0	>three
siteB	5.036952602	0	>three
siteB	NA	NA	>three
siteB	5.375278408	1	>three
siteB	5.170483995	1	>three
siteB	4.787491743	1	>three
siteB	5.375278408	1	>three
siteB	4.700480366	0	>three
siteB	6.416732283	1	>three
siteB	5.828945618	1	>three
siteB	4.59511985	0	>three
siteB	5.129898715	1	>three
siteB	4.836281907	1	>three
siteB	4.343805422	1	>three
siteB	5.192956851	1	>three
siteB	4.584967479	1	>three
siteB	5.170483995	1	>three
siteB	4.9698133	1	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	5.455321115	1	>three
siteB	4.276666119	1	>three
siteB	4.510859507	0	>three
siteB	4.276666119	1	>three
siteB	4.430816799	1	>three
siteB	4.700480366	1	>three
siteB	5.541263545	1	>three
siteB	4.094344562	1	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	4.905274778	0	>three
siteB	4.343805422	1	>three
siteB	4.564348191	1	>three
siteB	5.272999559	0	>three
siteB	5.717027701	0	>three
siteB	5.375278408	1	>three
siteB	4.718498871	0	>three
siteB	5.049856007	1	>three
siteB	5.087596335	0	>three
siteB	4.787491743	0	>three
siteB	4.9698133	1	>three
siteB	6.257667588	1	>three
siteB	4.356708827	0	>three
siteB	5.375278408	0	>three
siteB	5.541263545	0	>three
siteB	4.025351691	0	>three
siteB	4.276666119	1	>three
siteB	4.86753445	1	>three
siteB	3.912023005	0	>three
siteB	5.075173815	0	>three
siteB	4.189654742	0	>three
siteB	5.924255797	1	>three
siteB	4.356708827	0	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	NA	NA	>three
siteB	5.598421959	1	>three
siteB	5.204006687	0	>three
siteB	5.105945474	1	>three
siteB	4.941642423	1	>three
siteB	5.075173815	1	>three
siteB	4.564348191	1	>three
siteB	4.276666119	1	>three
siteB	4.49980967	0	>three
siteB	4.343805422	1	>three
siteB	4.477336814	1	>three
siteB	4.430816799	1	>three
siteB	4.248495242	0	>three
siteB	4.510859507	0	>three
siteB	4.836281907	1	>three
siteB	4.584967479	1	>three
siteB	5.730099783	0	>three
siteB	4.9698133	0	>three
siteB	4.276666119	0	>three
siteB	4.941642423	0	>three
siteB	5.634789603	0	>three
siteB	4.276666119	1	>three
siteB	5.272999559	1	>three
siteB	2.197224577	0	>three
siteB	5.411646052	1	>three
siteB	6.269096284	1	>three
siteB	5.123963979	1	>three
siteB	4.9698133	0	>three
siteB	4.59511985	1	>three
siteB	4.510859507	1	>three
siteB	6.12249281	1	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	4.394449155	0	>three
siteA	5.129898715	0	>three
siteA	4.477336814	0	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	4.700480366	0	>three
siteA	5.049856007	1	>three
siteA	4.86753445	0	>three
siteA	3.218875825	0	>three
siteA	3.401197382	0	>three
siteA	3.401197382	0	>three
siteA	2.995732274	0	>three
siteA	3.218875825	0	>three
siteA	3.401197382	0	>three
siteA	6.025865974	1	>three
siteA	5.480638923	1	>three
siteA	4.025351691	0	>three
siteA	3.401197382	1	>three
siteA	3.737669618	1	>three
siteA	4.143134726	0	>three
siteA	4.700480366	1	>three
siteA	3.218875825	1	>three
siteA	3.737669618	0	>three
siteA	4.025351691	0	>three
siteA	3.737669618	0	>three
siteA	4.49980967	1	>three
siteA	2.995732274	0	>three
siteA	3.401197382	0	>three
