ID	d_forest	humanImpac	abundance
P_SP31	7.231844026	14	2818
SP11	6.425121836	18	350
A13	5.239098007	14	35
A15	7.475684973	14	43
T03	0	18	446
T09	0	22	520
T10	0	22	310
T02	7.014796364	14	252
T05	5.902567793	35	693
T08	0	18	6
SP2	0	27	12
SP4	0	34	489
SP6	6.291746916	18	217
T01	5.239098007	36	2196
T06	5.098169868	32	633
T07	3.868593448	18	271
T4B	0	25	635
SP9	8.55718284	10	4561
SP10	5.239098007	22	180
SP12	5.929589143	14	1649
PT1	6.525526586	30	273
PT2	5.975436822	39	240
PT4	7.05723505	18	1931
PT5	5.593375882	13	46
PT6	5.796437618	14	82
SP13	9.914803268	54	8
SP14	7.4377186	27	1890
SP15	6.246147455	14	15
SP16	7.871433313	27	226
SP18	0	42	16
SP20	8.070965444	25	196
SP21	8.128543933	38	91
SP24	7.969796946	13	708
SP25	7.057235067	18	600
SP26	9.820785061	19	684
SP27	9.909111757	15	5460
SP29	6.647092892	22	32
PT10	3.473518043	22	1333
PT12	5.56898552	22	11
PT13	0	38	68
PT15	4.37102888	22	144
PT17	8.650574858	22	97
PT18	8.598101967	22	241
