"Occurrence"	"temp"	"terrain"
1	-77	0.02
1	-79	0.01
1	-61	0.02
1	-60	0.02
1	-62	0.0057364
1	-82	0.00686856
1	-76	0.01
1	-66	0.01
1	-70	0.01
1	-79	0.02
1	-69	0.02
1	-75	0.02
1	-68	0.01
1	-70	0.03
1	-72	-0.000895067
1	-62	0.00167016
1	-76	0.01
1	-69	0.00856801
1	-62	0.01
1	-88	0.02
1	-61	-0.00517393
1	-63	0.01
1	-63	0.01
1	-64	0.01
1	-73	0.00839341
1	-63	0.02
1	-82	0.006977
1	-67	0.01
1	-64	0.00104836
1	-72	0.00707199
1	-74	0.02
1	-83	0.01
1	-82	0.02
1	-83	0.02
1	-80	0.02
1	-64	0.00870805
1	-72	0.01
1	-85	0.02
1	-72	0.01
1	-60	0.00657193
1	-79	0.02
1	-80	0.00464873
1	-80	0.02
1	-62	-0.00376887
1	-75	0.02
1	-75	0.01
1	-67	0.02
1	-81	0.01
1	-69	0.01
1	-80	0.02
1	-61	0.000621966
1	-80	0.02
1	-84	-0.002393
1	-70	0.02
1	-84	0.01
1	-62	0.00182117
1	-69	0.02
1	-63	0.0033281
1	-74	0.00460967
1	-62	0.000850806
1	-79	0.02
1	-66	0.01
1	-77	0.00388222
1	-60	0.01
1	-87	0.01
1	-81	0.02
1	-80	0.02
1	-70	0.00515597
1	-72	0.02
1	-77	0.01
1	-82	0.02
1	-72	0.02
1	-77	0.02
1	-71	0.02
1	-80	0.02
1	-84	0.01
1	-73	0.02
1	-82	0.01
1	-81	0.01
1	-64	0.000361701
1	-70	0.02
1	-79	0.02
1	-87	0.02
1	-63	-0.00260057
1	-86	0.01
1	-62	0.00994172
1	-60	0.01
1	-78	0.01
1	-72	0.01
1	-84	0.01
1	-80	0.01
1	-60	0.00619943
1	-64	0.01
1	-72	0.02
1	-77	0.01
1	-64	0.01
1	-86	0.01
1	-63	0.00400105
1	-64	0.00671357
1	-78	0.01
0	-64	0.01
0	-59	0.01
0	-66	0.00276234
0	-63	0.000798366
0	-70	-0.00346858
0	-83	0.01
0	-66	0.01
0	-67	-0.00440094
0	-77	0.02
0	-69	0.00169248
0	-84	0.02
0	-68	-0.01
0	-85	0.02
0	-63	0.01
0	-60	0.00992785
0	-60	-0.00116312
0	-87	0.01
0	-66	0.03
0	-88	0.02
0	-60	-0.00286126
0	-67	0.01
0	-82	0.03
0	-70	-0.00201344
0	-64	-0.00382185
0	-67	0.00699466
0	-70	0.01
0	-70	-0.00525509
0	-77	0.00424331
0	-71	0.02
0	-60	0.00353437
0	-64	0.00133887
0	-88	0.02
0	-86	0.02
0	-60	0.00525537
0	-96	0.00775473
0	-70	0.00187119
0	-68	0.01
0	-84	0.02
0	-64	0.01
0	-60	0.00142126
0	-67	0.00408473
0	-89	0.00915773
0	-72	0.0034621
0	-66	0.01
0	-83	0.01
0	-73	0.01
0	-86	0.01
0	-64	0.02
0	-67	0.00497723
0	-72	0.02
0	-81	0.02
0	-81	0.01
0	-65	0.00157803
0	-69	-0.00264612
0	-59	0.01
0	-65	0.02
0	-81	0.02
0	-72	0.01
0	-93	0.02
0	-65	-0.00154045
0	-64	-0.00130589
0	-62	0.00659378
0	-72	0.00524178
0	-64	0.00157304
0	-65	0.0077775
0	-87	0.01
0	-69	-0.0012917
0	-70	0.000531108
0	-71	0.00266584
0	-81	0.01
0	-78	0.01
0	-78	0.03
0	-65	0.000780007
0	-84	0.01
0	-85	0.01
0	-79	0.02
0	-89	0.02
0	-91	0.02
0	-62	0.01
0	-59	-0.00921099
0	-68	0.02
0	-86	0.01
0	-67	0.01
0	-82	0.01
0	-69	0.000554982
0	-82	0.00972906
0	-61	0.00673259
0	-82	0.01
0	-62	0.0057212
0	-96	0.01
0	-85	0.01
0	-62	0.01
0	-87	0.02
0	-75	0.01
0	-87	0.02
0	-70	-0.00213741
0	-73	0.02
0	-69	-0.00305179
0	-88	0.02
0	-88	0.02
0	-64	0.01
0	-72	0.01
0	-87	0.02
0	-88	0.00144787
0	-62	0.00483677
0	-73	0.01
0	-72	0.01
0	-62	0.02
0	-70	0.01
0	-93	-0.00566306
0	-65	-0.00404511
0	-67	0.004275
0	-75	0.01
0	-83	0.02
0	-61	0.01
0	-88	0.02
0	-71	0.00672242
0	-67	0.01
0	-83	0.0090996
0	-69	0.01
0	-81	0.02
0	-68	0.00607682
0	-64	0.00912232
0	-85	0.02
0	-62	0.00998707
0	-74	0.00129658
0	-62	0.00975606
0	-73	0.02
0	-66	0.02
0	-70	0.02
0	-71	-0.00514374
0	-81	0.01
0	-65	-0.01
0	-73	0.0057358
0	-85	0.00643646
0	-87	0.01
0	-67	0.00519274
0	-73	0.00249389
0	-92	0.0096931
0	-78	0.01
0	-63	0.01
0	-87	0.01
0	-67	0.00149697
0	-84	0.00505392
0	-82	0.0073225
0	-65	-0.000740055
0	-69	0.00730704
0	-75	0.01
0	-65	0.02
0	-68	0.00276072
0	-65	0.01
0	-69	0.00586272
0	-83	0.02
0	-68	0.00734805
0	-66	0.00273318
0	-64	-0.01
0	-65	0.00592261
0	-82	0.02
0	-75	0.02
