size	sizeNext	site
3.951243719	NA	A
NA	NA	A
NA	NA	A
4.025351691	NA	A
4.248495242	NA	A
6.340359304	NA	A
NA	NA	A
5.393627546	NA	A
5.81711116	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	5.991464547	A
6.302618976	5.96870756	A
NA	NA	A
NA	NA	A
NA	NA	A
5.141663557	NA	A
4.852030264	NA	A
NA	5.472270674	A
NA	NA	A
4.852030264	NA	A
3.80666249	NA	A
NA	NA	A
6.267200549	NA	A
NA	4.762173935	A
NA	NA	A
3.871201011	NA	A
3.33220451	NA	A
4.158883083	NA	A
NA	4.189654742	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
4.317488114	NA	A
NA	NA	A
NA	NA	A
5.347107531	5.65248918	A
3.912023005	NA	A
NA	NA	A
NA	NA	A
NA	4.9698133	A
3.737669618	NA	A
NA	4.094344562	A
5.634789603	6.410174882	A
4.736198448	NA	A
4.143134726	NA	A
NA	5.65248918	A
NA	NA	A
NA	NA	A
5.429345629	6.473890696	A
3.871201011	NA	A
5.105945474	NA	A
4.836281907	NA	A
5.634789603	NA	A
5.204006687	NA	A
5.192956851	NA	A
5.480638923	NA	A
4.248495242	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
5.605802066	NA	A
NA	3.871201011	A
5.170483995	NA	A
5.192956851	NA	A
NA	NA	A
3.17805383	NA	A
NA	NA	A
NA	NA	A
5.541263545	NA	A
NA	NA	A
4.96284463	4.9698133	A
5.533389489	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
4.762173935	NA	A
NA	NA	A
5.33753808	NA	A
NA	NA	A
NA	NA	A
NA	4.510859507	A
NA	NA	A
NA	NA	A
6.03068526	NA	A
NA	NA	A
NA	NA	A
5.783825182	NA	A
4.644390899	NA	A
NA	4.787491743	A
4.094344562	NA	A
3.891820298	NA	A
NA	NA	A
4.317488114	NA	A
NA	2.890371758	A
2.708050201	4.17438727	A
1.609437912	NA	A
NA	NA	A
5.65248918	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
3.912023005	NA	A
NA	NA	A
NA	NA	A
4.912654886	6.263398263	A
NA	NA	A
NA	NA	A
6.329720906	NA	A
NA	NA	A
4.317488114	NA	A
NA	4.343805422	A
3.80666249	NA	A
1.791759469	5.288267031	A
2.995732274	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
2.708050201	NA	A
NA	3.988984047	A
NA	NA	A
NA	NA	A
5.049856007	NA	A
5.529429088	5.393627546	A
NA	NA	A
NA	NA	A
NA	NA	A
5.416100402	4.882801923	A
NA	NA	A
4.094344562	6.478509642	A
6.173786104	NA	A
1.386294361	NA	A
NA	NA	A
NA	NA	A
5.075173815	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
NA	4.343805422	A
NA	4.343805422	A
NA	NA	A
5.278114659	NA	A
NA	NA	A
3.80666249	NA	A
4.700480366	NA	A
NA	NA	A
NA	NA	A
NA	NA	A
2.63905733	NA	A
NA	4.510859507	A
2.48490665	4.356708827	A
NA	NA	A
NA	NA	A
NA	NA	A
5.272999559	NA	A
NA	NA	A
5.723585102	NA	A
2.48490665	NA	A
NA	3.988984047	A
2.079441542	4.007333185	A
5.934894196	NA	A
NA	NA	A
5.318119994	NA	A
NA	NA	A
NA	NA	A
5.231108617	NA	A
3.401197382	4.49980967	A
NA	NA	A
NA	4.644390899	A
NA	4.430816799	A
6.329720906	5.66296048	A
2.708050201	4.007333185	A
5.416100402	NA	A
1.791759469	NA	A
NA	NA	A
4.905274778	NA	A
NA	NA	A
4.795790546	NA	A
NA	NA	A
NA	NA	A
5.703782475	NA	A
NA	4.343805422	A
4.49980967	5.65248918	A
5.768320996	NA	A
