ID	flies	nutrients	size
1	NF	O	2.862200881
2	NF	O	2.944438979
3	NF	O	2.923161581
4	NF	O	2.862200881
5	NF	O	2.833213344
6	NF	O	2.862200881
7	NF	O	2.525728644
8	NF	O	2.564949357
9	NF	O	2.708050201
10	NF	O	2.844909384
11	NF	O	2.442347035
12	NF	O	2.708050201
13	NF	O	3.198673118
14	NF	O	2.890371758
15	NF	O	2.995732274
16	NF	O	2.833213344
17	NF	O	2.302585093
18	NF	O	3.113515309
19	NF	O	2.708050201
20	NF	O	2.970414466
1	NF	L	2.944438979
2	NF	L	3.113515309
3	NF	L	3.360375387
4	NF	L	2.917770732
5	NF	L	2.917770732
6	NF	L	3.044522438
7	NF	L	3.113515309
8	NF	L	2.833213344
9	NF	L	2.890371758
10	NF	L	2.772588722
11	NF	L	3.091042453
12	NF	L	2.397895273
13	NF	L	3.091042453
14	NF	L	3.044522438
15	NF	L	2.797281335
16	NF	L	3.33220451
17	NF	L	2.917770732
18	NF	L	3.314186005
19	NF	L	3.17805383
20	NF	L	3.135494216
1	NF	H	2.549445171
2	NF	H	3.044522438
3	NF	H	2.821378886
4	NF	H	2.667228207
5	NF	H	3.218875825
6	NF	H	2.747270914
7	NF	H	2.995732274
8	NF	H	2.975529566
9	NF	H	3.277144733
10	NF	H	3.034952987
11	NF	H	2.995732274
12	NF	H	3.068052935
13	NF	H	3.113515309
14	NF	H	3.27336401
15	NF	H	2.785011242
16	NF	H	2.995732274
17	NF	H	2.917770732
18	NF	H	3.198673118
19	NF	H	3.33220451
20	NF	H	3.218875825
1	F	O	3.61361697
2	F	O	2.944438979
3	F	O	3.126760536
4	F	O	3.832979798
5	F	O	3.7208625
6	F	O	3.113515309
7	F	O	2.48490665
8	F	O	2.995732274
9	F	O	3.549617387
10	F	O	3.56671182
11	F	O	3.421000009
12	F	O	3.817712326
13	F	O	2.803360381
14	F	O	2.995732274
15	F	O	3.583518938
16	F	O	3.015534901
17	F	O	3.27336401
18	F	O	2.985681938
19	F	O	3.152736022
20	F	O	2.862200881
1	F	L	2.803360381
2	F	L	3.126760536
3	F	L	2.740840024
4	F	L	3.496507561
5	F	L	3.202746443
6	F	L	3.7208625
7	F	L	3.238678452
8	F	L	3.238678452
9	F	L	3.27336401
10	F	L	3.737669618
11	F	L	3.044522438
12	F	L	3.555348061
13	F	L	3.27336401
14	F	L	3.020424886
15	F	L	3.226843995
16	F	L	2.674148649
17	F	L	2.985681938
18	F	L	3.27336401
19	F	L	3.555348061
20	F	L	2.740840024
1	F	H	3.295836866
2	F	H	2.517696473
3	F	H	3.135494216
4	F	H	3.226843995
5	F	H	3.663561646
6	F	H	2.803360381
7	F	H	3.17805383
8	F	H	3.786459782
9	F	H	2.862200881
10	F	H	2.442347035
11	F	H	3.306886702
12	F	H	3.421000009
13	F	H	3.068052935
14	F	H	3.36729583
15	F	H	3.56671182
16	F	H	3.703768067
17	F	H	3.401197382
18	F	H	3.044522438
19	F	H	3.440418095
20	F	H	3.020424886
